"filename", "language", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\contact.html", "HTML", 58, 0, 35, 3, 96
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\games.html", "HTML", 94, 0, 37, 6, 137
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\socials.html", "HTML", 58, 0, 28, 9, 95
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\team.html", "HTML", 122, 0, 35, 3, 160
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\_index.scss", "SCSS", 0, 3, 0, 0, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\bottom-navbar.scss", "SCSS", 0, 40, 0, 0, 40
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\latest-project.scss", "SCSS", 0, 14, 2, 1, 17
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\navbar.scss", "SCSS", 0, -4, 7, 0, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\old-games.scss", "SCSS", 0, 63, 23, 14, 100
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\socials.scss", "SCSS", 0, 33, 0, 3, 36
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\studio-logo.scss", "SCSS", 0, 21, 4, -1, 24
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\team-grid.scss", "SCSS", 0, 83, 1, 3, 87
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\we-are.scss", "SCSS", 0, 81, 13, 10, 104
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\fonts.scss", "SCSS", 0, 20, 1, 1, 22
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\style.scss", "SCSS", 0, -1, 0, 0, -1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\breakpoints.scss", "SCSS", 0, 2, 0, 0, 2
"Total", "-", 332, 355, 186, 52, 925
