"filename", "language", "HTML", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\contact.html", "HTML", 91, 0, 0, 35, 3, 129
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\games.html", "HTML", 127, 0, 0, 37, 6, 170
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\socials.html", "HTML", 91, 0, 0, 28, 9, 128
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\team.html", "HTML", 155, 0, 0, 35, 3, 193
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\js\script.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\_index.scss", "SCSS", 0, 0, 3, 0, 0, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\_index.scss", "SCSS", 0, 0, 10, 0, 0, 10
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\bottom-navbar.scss", "SCSS", 0, 0, 57, 1, 1, 59
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\card.scss", "SCSS", 0, 0, 4, 0, 1, 5
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\latest-project.scss", "SCSS", 0, 0, 40, 2, 4, 46
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\navbar.scss", "SCSS", 0, 0, 63, 12, 8, 83
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\old-games.scss", "SCSS", 0, 0, 63, 23, 14, 100
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\socials.scss", "SCSS", 0, 0, 33, 0, 3, 36
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\studio-logo.scss", "SCSS", 0, 0, 61, 4, 2, 67
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\team-grid.scss", "SCSS", 0, 0, 83, 1, 3, 87
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\toggle.scss", "SCSS", 0, 0, 2, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\we-are.scss", "SCSS", 0, 0, 155, 20, 19, 194
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\_index.scss", "SCSS", 0, 0, 6, 0, 0, 6
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\boilerplate.scss", "SCSS", 0, 0, 9, 0, 1, 10
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\colors.scss", "SCSS", 0, 0, 4, 0, 0, 4
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\fonts.scss", "SCSS", 0, 0, 26, 1, 3, 30
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\images.scss", "SCSS", 0, 0, 2, 0, 0, 2
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\layout.scss", "SCSS", 0, 0, 9, 0, 1, 10
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\typography.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\style.scss", "SCSS", 0, 0, 2, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\_index.scss", "SCSS", 0, 0, 2, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\breakpoints.scss", "SCSS", 0, 0, 23, 2, 4, 29
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\functions.scss", "SCSS", 0, 0, 4, 0, 1, 5
"Total", "-", 464, 1, 661, 201, 90, 1417
