"filename", "language", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\contact.html", "HTML", 0, 19, 20, 3, 42
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\games.html", "HTML", 0, 4, -19, -2, -17
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\socials.html", "HTML", 0, 5, 15, -1, 19
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\team.html", "HTML", 0, 1, 4, 1, 6
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\_index.scss", "SCSS", 1, 0, 0, 0, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\bottom-navbar.scss", "SCSS", 117, 0, 1, 5, 123
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\contact-page.scss", "SCSS", 170, 0, 11, 12, 193
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\latest-project.scss", "SCSS", 72, 0, 2, 1, 75
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\navbar.scss", "SCSS", 120, 0, 20, 4, 144
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\old-games.scss", "SCSS", 92, 0, -10, 6, 88
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\socials.scss", "SCSS", 10, 0, 0, 1, 11
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\studio-logo.scss", "SCSS", 22, 0, 16, 5, 43
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\team-grid.scss", "SCSS", 5, 0, 0, 1, 6
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\fonts.scss", "SCSS", 16, 0, -1, 0, 15
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\breakpoints.scss", "SCSS", 1, 0, 0, 0, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\functions.scss", "SCSS", 9, 0, 1, 4, 14
"Total", "-", 635, 29, 60, 40, 764
