"filename", "language", "SCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\contact.html", "HTML", 0, 0, 110, 55, 6, 171
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\games.html", "HTML", 0, 0, 131, 18, 4, 153
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\socials.html", "HTML", 0, 0, 96, 43, 8, 147
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\html\team.html", "HTML", 0, 0, 156, 39, 4, 199
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\js\script.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\_index.scss", "SCSS", 3, 0, 0, 0, 0, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\_index.scss", "SCSS", 11, 0, 0, 0, 0, 11
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\bottom-navbar.scss", "SCSS", 174, 0, 0, 2, 6, 182
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\card.scss", "SCSS", 4, 0, 0, 0, 1, 5
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\contact-page.scss", "SCSS", 170, 0, 0, 11, 12, 193
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\latest-project.scss", "SCSS", 112, 0, 0, 4, 5, 121
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\navbar.scss", "SCSS", 183, 0, 0, 32, 12, 227
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\old-games.scss", "SCSS", 155, 0, 0, 13, 20, 188
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\socials.scss", "SCSS", 43, 0, 0, 0, 4, 47
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\studio-logo.scss", "SCSS", 83, 0, 0, 20, 7, 110
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\team-grid.scss", "SCSS", 88, 0, 0, 1, 4, 93
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\toggle.scss", "SCSS", 2, 0, 0, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\components\we-are.scss", "SCSS", 155, 0, 0, 20, 19, 194
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\_index.scss", "SCSS", 6, 0, 0, 0, 0, 6
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\boilerplate.scss", "SCSS", 9, 0, 0, 0, 1, 10
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\colors.scss", "SCSS", 4, 0, 0, 0, 0, 4
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\fonts.scss", "SCSS", 42, 0, 0, 0, 3, 45
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\images.scss", "SCSS", 2, 0, 0, 0, 0, 2
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\layout.scss", "SCSS", 9, 0, 0, 0, 1, 10
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\globals\typography.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\style.scss", "SCSS", 2, 0, 0, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\_index.scss", "SCSS", 2, 0, 0, 0, 1, 3
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\breakpoints.scss", "SCSS", 24, 0, 0, 2, 4, 30
"c:\Users\lukeb\OneDrive\Desktop\SDK-Website-files\app\scss\util\functions.scss", "SCSS", 13, 0, 0, 1, 5, 19
"Total", "-", 1296, 1, 493, 261, 130, 2181
